Dataset,# classes,Window,W_size,W_step,Augment,Noise,MVN LL,MAF LL,MVN ACC,MAF ACC
MOSENSE,6,True,128,64,False,False,-242.2431,1264.8010,0.4966,0.7487
MOSENSE,6,True,128,64,False,True,435.8816,1200.5637,0.6580,0.8254
MOSENSE,6,True,128,64,True,False,587.4257,1582.0021,0.6731,0.8030
MOSENSE,6,True,128,64,True,True,210.0161,1284.2458,0.6544,0.7916
MOSENSE,6,True,64,32,True,True,579.2101,868.5525,0.8166,0.8046
MOSENSE,6,True,32,16,True,True,289.0209,516.7429,0.7376,0.7864
UCIHAR,6,True,0,0,False,False,846.4878,1256.1664,0.9474,0.8792
UCIHAR,6,True,0,0,False,True,846.4878,868.8217,0.9474,0.9433
